"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
" 2019-10-12 - Penguins 7, Wild 4","Minnesota Wild","Limited ReportFull Report","0.81666666666667","73.47","73.47","50.00","73.47","73.47","50.00","73.47","0","100.00","73.47","0","100.00","7.22","0.64","91.83","73.47","0","100.00","0","0","-","0","0","-","-","-","100.00","-","-"
" 2019-10-12 - Penguins 7, Wild 4","Pittsburgh Penguins","Limited ReportFull Report","3.5833333333333","66.98","33.49","66.67","50.23","33.49","60.00","50.23","16.74","75.00","33.49","0","100.00","7.01","0.36","95.17","33.49","0","100.00","33.49","0","100.00","33.49","0","100.00","100.00","-","66.67","100.00","1.667"
" 2019-10-12 - Coyotes 2, Avalanche 3","Arizona Coyotes","Limited ReportFull Report","6","130","30","81.25","100","30","76.92","80","30","72.73","0","0","-","9.03","0.96","90.42","50","10","83.33","20","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-12 - Coyotes 2, Avalanche 3","Colorado Avalanche","Limited ReportFull Report","6.7333333333333","62.38","0","100.00","44.55","0","100.00","26.73","0","100.00","8.91","0","100.00","3.78","0","100.00","26.73","0","100.00","8.91","0","100.00","8.91","0","100.00","100.00","-","33.33","-","-"
" 2019-10-12 - Flyers 2, Canucks 3","Philadelphia Flyers","Limited ReportFull Report","5.05","95.05","0","100.00","71.29","0","100.00","47.52","0","100.00","11.88","0","100.00","6.43","0","100.00","71.29","0","100.00","23.76","0","100.00","0","0","-","0.00","-","25.00","-","-"
" 2019-10-12 - Flyers 2, Canucks 3","Vancouver Canucks","Limited ReportFull Report","2","90","0","100.00","30","0","100.00","0","0","-","0","0","-","3","0","100.00","30","0","100.00","0","0","-","0","0","-","-","-","-","-","-"
" 2019-10-12 - Flames 2, Golden Knights 6","Calgary Flames","Limited ReportFull Report","10.133333333333","130.26","5.92","95.65","106.58","5.92","94.74","76.97","5.92","92.86","0","0","-","8.57","0.28","96.81","47.37","5.92","88.89","11.84","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-12 - Flames 2, Golden Knights 6","Vegas Golden Knights","Limited ReportFull Report","6","110","0","100.00","90","0","100.00","40","0","100.00","0","0","-","7.29","0","100.00","70","0","100.00","20","0","100.00","0","0","-","0.00","-","0.00","-","-"
" 2019-10-13 - Penguins 7, Jets 2","Pittsburgh Penguins","Limited ReportFull Report","3","200","0","100.00","100","0","100.00","80","0","100.00","20","0","100.00","11","0","100.00","120","0","100.00","100","0","100.00","20","0","100.00","33.33","-","25.00","-","-"
" 2019-10-13 - Penguins 7, Jets 2","Winnipeg Jets","Limited ReportFull Report","9.3166666666667","57.96","25.76","69.23","45.08","25.76","63.64","32.2","25.76","55.56","6.44","6.44","50.00","3.4","1.62","67.71","25.76","19.32","57.14","6.44","12.88","33.33","6.44","6.44","50.00","100.00","50.00","20.00","75.00","0.950"
" 2019-10-13 - Golden Knights 5, Kings 2","Los Angeles Kings","Limited ReportFull Report","6","120","10","92.31","70","10","87.50","60","10","85.71","0","0","-","6.18","0","99.93","80","0","100.00","20","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-13 - Golden Knights 5, Kings 2","Vegas Golden Knights","Limited ReportFull Report","3.8666666666667","201.72","0","100.00","170.69","0","100.00","155.17","0","100.00","46.55","0","100.00","10.5","0","100.00","108.62","0","100.00","15.52","0","100.00","15.52","0","100.00","100.00","-","30.00","-","-"
" 2019-10-13 - Flames 1, Sharks 3","Calgary Flames","Limited ReportFull Report","7.2","66.67","16.67","80.00","41.67","8.33","83.33","16.67","8.33","66.67","0","8.33","0.00","4.12","1.24","76.94","25","8.33","75.00","16.67","8.33","66.67","0","8.33","0.00","0.00","0.00","0.00","0.00","0.000"
" 2019-10-13 - Flames 1, Sharks 3","San Jose Sharks","Limited ReportFull Report","3.3166666666667","162.81","18.09","90.00","72.36","18.09","80.00","18.09","18.09","50.00","0","0","-","7.19","1.77","80.24","54.27","18.09","75.00","36.18","18.09","66.67","0","0","-","0.00","100.00","0.00","100.00","1.000"
" 2019-10-14 - Ducks 2, Bruins 4","Anaheim Ducks","Limited ReportFull Report","8.0166666666667","52.39","7.48","87.50","52.39","7.48","87.50","44.91","7.48","85.71","0","0","-","4.54","0.7","86.59","29.94","0","100.00","22.45","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
