season_id,home_team,away_team,Home_Team_Won,home_pts_pct,away_pts_pct,home_TOI,home_FF/60,home_FA/60,home_FF%,home_GF/60,home_GA/60,home_GF%,home_xGF/60,home_xGA/60,home_xGF%,home_HDCF/60,home_HDCA/60,home_HDCF%,home_HDSH%,home_HDSV%,home_SH%,home_SV%,home_PDO,home_TOI_pp,home_GF/60_pp,home_xGF/60_pp,home_TOI_pk,home_GA/60_pk,home_xGA/60_pk,away_TOI,away_FF/60,away_FA/60,away_FF%,away_GF/60,away_GA/60,away_GF%,away_xGF/60,away_xGA/60,away_xGF%,away_HDCF/60,away_HDCA/60,away_HDCF%,away_HDSH%,away_HDSV%,away_SH%,away_SV%,away_PDO,away_TOI_pp,away_GF/60_pp,away_xGF/60_pp,away_TOI_pk,away_GA/60_pk,away_xGA/60_pk
20192020,WSH,CAR,0,0.8333333333333334,1.0,41.716666666667,47.35,36.04,56.78,2.78,1.45,65.64,2.72,2.23,55.0,9.77,10.41,48.4,32.59,85.88,10.1,94.04,1.041,9.4833333333333,0.0,3.15,6.05,9.92,7.17,41.716666666667,36.04,47.35,43.22,1.45,2.78,34.36,2.23,2.72,45.0,10.41,9.77,51.6,14.12,67.41,5.96,89.9,0.959,6.05,9.92,7.17,9.4833333333333,0.0,3.15
20192020,STL,DAL,1,0.75,0.0,49.75,44.24,34.12,56.46,3.39,1.27,72.68,1.27,1.95,39.32,3.39,7.48,31.21,0.0,100.0,11.28,94.98,1.063,4.0,0.0,4.59,4.0,0.0,10.15,49.75,34.12,44.24,43.54,1.27,3.39,27.32,1.95,1.27,60.68,7.48,3.39,68.79,0.0,100.0,5.02,88.72,0.937,4.0,0.0,10.15,4.0,0.0,4.59
20192020,NSH,DET,0,0.5,1.0,51.433333333333,55.46,37.53,59.64,2.16,4.95,30.32,2.26,1.26,64.07,6.19,2.55,70.87,25.59,50.08,5.15,79.12,0.843,2.1666666666667,27.69,3.93,4.0,0.0,3.98,51.433333333333,37.53,55.46,40.36,4.95,2.16,69.68,1.26,2.26,35.93,2.55,6.19,29.13,49.92,74.41,20.88,94.85,1.157,4.0,0.0,3.98,2.1666666666667,27.69,3.93
20192020,ARI,BOS,0,0.0,1.0,49.066666666667,44.11,43.78,50.19,0.0,1.29,0.0,2.13,2.02,51.31,10.99,10.86,50.28,0.0,100.0,0.0,95.53,0.955,4.1333333333333,0.0,2.03,2.1333333333333,0.0,6.32,49.066666666667,43.78,44.11,49.81,1.29,0.0,100.0,2.02,2.13,48.69,10.86,10.99,49.72,0.0,100.0,4.47,100.0,1.045,2.1333333333333,0.0,6.32,4.1333333333333,0.0,2.03
20192020,COL,MIN,1,1.0,0.0,40.416666666667,43.32,40.5,51.68,2.87,1.51,65.57,2.24,2.36,48.71,11.38,10.4,52.25,28.36,100.0,8.3,95.28,1.036,10.0,6.0,3.78,7.25,8.28,3.02,40.416666666667,40.5,43.32,48.32,1.51,2.87,34.43,2.36,2.24,51.29,10.4,11.38,47.75,0.0,71.64,4.72,91.7,0.964,7.25,8.28,3.02,10.0,6.0,3.78
20192020,ANA,S.J,1,1.0,0.0,46.866666666667,52.0,39.56,56.8,3.68,1.29,73.98,2.6,1.59,61.99,11.45,5.1,69.18,27.53,100.0,11.51,95.6,1.071,3.9666666666667,0.0,10.02,6.0,0.0,13.51,46.866666666667,39.56,52.0,43.2,1.29,3.68,26.02,1.59,2.6,38.01,5.1,11.45,30.82,0.0,72.47,4.4,88.49,0.929,6.0,0.0,13.51,3.9666666666667,0.0,10.02
20192020,CGY,VAN,1,0.5,0.0,40.533333333333,50.34,36.86,57.73,2.86,0.0,100.0,2.43,1.91,56.04,10.23,7.47,57.79,16.56,100.0,8.08,100.0,1.081,6.85,0.0,6.67,9.3166666666667,0.0,5.9,40.533333333333,36.86,50.34,42.27,0.0,2.86,0.0,1.91,2.43,43.96,7.47,10.23,42.21,0.0,83.44,0.0,91.92,0.919,9.3166666666667,0.0,5.9,6.85,0.0,6.67
20192020,EDM,L.A,1,1.0,0.0,44.083333333333,33.43,40.55,45.19,3.8,5.69,40.03,2.0,2.74,42.16,7.49,14.71,33.75,50.73,75.41,13.99,82.23,0.962,7.7666666666667,15.45,11.41,3.25,18.46,4.44,44.083333333333,40.55,33.43,54.81,5.69,3.8,59.97,2.74,2.0,57.84,14.71,7.49,66.25,24.59,49.27,17.77,86.01,1.038,3.25,18.46,4.44,7.7666666666667,15.45,11.41
20192020,CAR,T.B,1,1.0,0.5,48.8,61.08,23.96,71.83,1.16,2.57,31.13,3.51,1.48,70.37,12.1,3.99,75.19,0.0,100.0,2.86,83.68,0.865,5.0333333333333,23.84,3.75,4.25,14.12,0.98,48.8,23.96,61.08,28.17,2.57,1.16,68.87,1.48,3.51,29.63,3.99,12.1,24.81,0.0,100.0,16.32,97.14,1.135,4.25,14.12,0.98,5.0333333333333,23.84,3.75
20192020,DET,DAL,1,1.0,0.0,41.066666666667,38.27,28.94,56.94,4.11,4.59,47.2,2.21,2.09,51.38,9.48,9.4,50.23,28.33,60.72,11.88,82.21,0.941,13.0,4.62,2.67,4.0,0.0,7.73,41.066666666667,28.94,38.27,43.06,4.59,4.11,52.8,2.09,2.21,48.62,9.4,9.48,49.77,39.28,71.67,17.79,88.12,1.059,4.0,0.0,7.73,13.0,4.62,2.67
20192020,NYI,WPG,1,0.5,0.3333333333333333,54.1,42.38,45.67,48.13,3.28,1.11,74.67,2.78,1.91,59.24,15.51,8.84,63.69,26.12,87.0,10.57,96.92,1.075,1.9,31.58,7.98,4.0,0.0,3.2,54.1,45.67,42.38,51.87,1.11,3.28,25.33,1.91,2.78,40.76,8.84,15.51,36.31,13.0,73.88,3.08,89.43,0.925,4.0,0.0,3.2,1.9,31.58,7.98
